DataHora,VlLow
"2018-06-01 09:34:00",7543.78
"2018-06-01 09:35:00",7543.16
"2018-06-01 09:36:00",7529.51
"2018-06-01 09:37:00",7533.72
"2018-06-01 09:38:00",7532.65
"2018-06-01 09:39:00",7532.77
"2018-06-01 09:40:00",7537.63
"2018-06-01 09:41:00",7540.60
"2018-06-01 09:42:00",7535.30
"2018-06-01 09:43:00",7543.10
"2018-06-01 09:44:00",7535.65
"2018-06-01 09:45:00",7539.84
"2018-06-01 09:46:00",7541.35
"2018-06-01 09:47:00",7540.01
"2018-06-01 09:48:00",7544.10
"2018-06-01 09:49:00",7540.40
"2018-06-01 09:50:00",7540.91
"2018-06-01 09:51:00",7541.02
"2018-06-01 09:52:00",7541.18
"2018-06-01 09:53:00",7541.87
"2018-06-01 09:54:00",7541.91
"2018-06-01 09:55:00",7540.00
"2018-06-01 09:56:00",7544.62
"2018-06-01 09:57:00",7540.00
"2018-06-01 09:58:00",7527.95
"2018-06-01 09:59:00",7533.39
"2018-06-01 10:00:00",7522.02
"2018-06-01 10:01:00",7521.67
"2018-06-01 10:02:00",7534.99
"2018-06-01 10:03:00",7530.18
"2018-06-01 10:04:00",7524.57
"2018-06-01 10:05:00",7533.01
"2018-06-01 10:06:00",7537.32
"2018-06-01 10:07:00",7535.71
"2018-06-01 10:08:00",7537.20
"2018-06-01 10:09:00",7544.03
"2018-06-01 10:10:00",7535.94
"2018-06-01 10:11:00",7534.95
"2018-06-01 10:12:00",7535.92
"2018-06-01 10:13:00",7537.59
"2018-06-01 10:14:00",7545.70
"2018-06-01 10:15:00",7539.91
"2018-06-01 10:16:00",7541.01
"2018-06-01 10:17:00",7541.12
"2018-06-01 10:18:00",7541.62
"2018-06-01 10:19:00",7546.00
"2018-06-01 10:20:00",7542.47
"2018-06-01 10:21:00",7545.15
"2018-06-01 10:22:00",7542.69
"2018-06-01 10:23:00",7545.66
"2018-06-01 10:24:00",7542.73
"2018-06-01 10:25:00",7543.88
"2018-06-01 10:26:00",7547.99
"2018-06-01 10:27:00",7545.01
"2018-06-01 10:28:00",7541.00
"2018-06-01 10:29:00",7541.11
"2018-06-01 10:30:00",7545.81
"2018-06-01 10:31:00",7544.80
"2018-06-01 10:32:00",7541.30
"2018-06-01 10:33:00",7545.28
"2018-06-01 10:34:00",7537.41
"2018-06-01 10:35:00",7530.79
"2018-06-01 10:36:00",7530.02
"2018-06-01 10:37:00",7530.77
"2018-06-01 10:38:00",7535.86
"2018-06-01 10:39:00",7539.99
"2018-06-01 10:40:00",7536.54
"2018-06-01 10:41:00",7536.71
"2018-06-01 10:42:00",7536.73
"2018-06-01 10:43:00",7539.60
"2018-06-01 10:44:00",7539.66
"2018-06-01 10:45:00",7539.59
"2018-06-01 10:46:00",7536.11
"2018-06-01 10:47:00",7536.11
"2018-06-01 10:48:00",7536.76
"2018-06-01 10:49:00",7539.16
"2018-06-01 10:50:00",7539.20
"2018-06-01 10:51:00",7544.96
"2018-06-01 10:52:00",7546.73
"2018-06-01 10:53:00",7549.05
"2018-06-01 10:54:00",7550.98
"2018-06-01 10:55:00",7550.99
"2018-06-01 10:56:00",7542.00
"2018-06-01 10:57:00",7542.83
"2018-06-01 10:58:00",7550.45
"2018-06-01 10:59:00",7545.99
"2018-06-01 11:00:00",7545.93
"2018-06-01 11:01:00",7546.24
"2018-06-01 11:02:00",7550.33
"2018-06-01 11:03:00",7546.72
"2018-06-01 11:04:00",7546.72
"2018-06-01 11:05:00",7546.48
"2018-06-01 11:06:00",7550.00
"2018-06-01 11:07:00",7550.00
"2018-06-01 11:08:00",7550.06
"2018-06-01 11:09:00",7551.00
"2018-06-01 11:10:00",7550.34
"2018-06-01 11:11:00",7550.28
"2018-06-01 11:12:00",7551.80
"2018-06-01 11:13:00",7552.28
"2018-06-01 11:14:00",7553.19
"2018-06-01 11:15:00",7553.35
"2018-06-01 11:16:00",7553.49
"2018-06-01 11:17:00",7557.01
"2018-06-01 11:18:00",7558.94
"2018-06-01 11:19:00",7560.02
"2018-06-01 11:20:00",7554.64
"2018-06-01 11:21:00",7557.00
"2018-06-01 11:22:00",7554.66
"2018-06-01 11:23:00",7557.00
"2018-06-01 11:24:00",7562.50
"2018-06-01 11:25:00",7554.90
"2018-06-01 11:26:00",7557.88
"2018-06-01 11:27:00",7565.24
"2018-06-01 11:28:00",7560.01
"2018-06-01 11:29:00",7563.01
"2018-06-01 11:30:00",7560.04
"2018-06-01 11:31:00",7560.00
"2018-06-01 11:32:00",7560.18
"2018-06-01 11:33:00",7558.30
"2018-06-01 11:34:00",7556.91
"2018-06-01 11:35:00",7553.14
"2018-06-01 11:36:00",7551.92
"2018-06-01 11:37:00",7553.81
"2018-06-01 11:38:00",7550.61
"2018-06-01 11:39:00",7549.45
"2018-06-01 11:40:00",7549.01
"2018-06-01 11:41:00",7548.71
"2018-06-01 11:42:00",7533.03
"2018-06-01 11:43:00",7539.80
"2018-06-01 11:44:00",7539.80
"2018-06-01 11:45:00",7534.10
"2018-06-01 11:46:00",7529.19
